title,description,views,likes,dislikes,comments,tags
Let's talk about Men's Mental Health,"Trigger Warning: Suicide 
Statistically men are less likely to access psychological therapies than women – student George Brown spoke to three fellow students for #UniMentalHealthDay to ask why they think that is. The film was also produced by fellow student Matt Solomons.
To access our wellbeing services contact https://www.exeter.ac.uk/wellbeing/
Don’t forget you can call Samaritans on 116 123 (24 hours a day, 365 days a year)",110,2,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Mind Over Natter: How not to worry about worrying,"Edward Watkins, a Professor of Experimental and Applied Clinical Psychology, presented some tips on how to stop worry and rumination as part of Mind Over Natter on Wednesday 5 February 2020.",55,0,0,,"University of exeter,exeter uni,exeter university,university life,worry,rumination,Mind Over Natter,wellbeing"
ExeterMarine: A Centre of Excellence in Marine Research (Ep.2),"ExeterMarine: A Centre of Excellence in Marine Research is the second episode of our new ExeterMarine short film series!

In this episode members of our community share what they think makes ExeterMarine and the University of Exeter an excellent place to study in the marine realm.",195,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Soapbox Science Exeter 2019 Priscila Barros Ramalho Alves,Make sure you include a clear description with key words that people will search for.,116,7,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
2019 SoapBox Science Exeter Priyanka Dey,Make sure you include a clear description with key words that people will search for.,230,11,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
"Seagulls favour food that has been handled by humans, new research shows.","Herring gulls were presented with two identical food items – one of which they had seen a human holding.

The gulls pecked more often at the handled food, suggesting they use human actions when deciding what to eat.

The University of Exeter study follows previous research which found that staring at seagulls makes them less likely to steal food.

Lead author Madeleine Goumas, of the Centre for Ecology and Conservation at Exeter’s Penryn Campus in Cornwall, explains more. 

Read more at www.exeter.ac.uk/news/homepage/title_779427_en.html",165,2,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Why study Sport and Health Sciences at the University of Exeter?,Browse our Sport and Health Sciences courses: http://www.exeter.ac.uk/undergraduate/courses/sport/,230,2,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,degree,studying,university life,sport,health,science,lab,placement,abroad"
Why study Psychology at the University of Exeter?,Find out more about our Psychology courses: https://www.exeter.ac.uk/undergraduate/courses/psychology/,474,6,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,degree,studying,university life,psychology,placement,clinical,patients,stroke"
Why study Biosciences at the University of Exeter’s Streatham Campus?,Find out more about Biosciences at the University of Exeter: https://www.exeter.ac.uk/undergraduate/courses/biosciences/,252,2,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,degree,studying,university life,biosciences,science,biology,labs,cell,modules,flexible"
MA Creativity: Innovation and Business Strategy: Maketank - a student makerspace project,"The MA Creativity: Innovation and Business Strategy programme is an interdisciplinary course taught by lecturers in English, Film, Business and Fine Arts and gives an introduction to the Creative Industries. During their course, students took part in the Maketank - a student makerspace project, working with local businesses using gamification as a tool for delivering products, marketing services and ideas generation.",319,3,0,,"University of exeter,exeter uni,exeter university,postgraduate,degree,studying"
Study MA Creativity: Innovation and Business Strategy at the University of Exeter,"The MA Creativity: Innovation and Business Strategy programme enables students to gain access, insight and hands-on experience of management and consultancy within the creative business sector. During their course, students took part in the Creativity Business Hack, working alongside mentors and local businesses to offer creative solutions to real-life business challenges.",132,1,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
World-leading plastics research team collect Queen’s Anniversary prize,"Prince Charles has awarded the Queen’s Anniversary Prize for Higher Education to a team at the University of Exeter for the pivotal role it has played to expose the devastating effect that plastics pollution has on the health of humans and wildlife.

Read more here: http://www.exeter.ac.uk/news/homepage/title_779130_en.html",56,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Enhance your career with a Degree Apprenticeship,Employers and students explain how a Degree Apprenticeship from the University of Exeter can enhance your career.,48,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
ExeterMarine: The Many Faces Of (Ep.1),"ExeterMarine: The many Faces Of...
is the first installment of a new three part series showcasing our colleagues and their innovative research, ExeterMarine as a center for excellence in marine research and the growing community here at ExeterMarine.

In this first episode, we introduce you to a handful of individuals and their work who are a part of this interdisciplinary marine community.",477,7,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
MSc Statistics,Study MSc Statistics at the University of Exeter. Find out more today.,268806,1,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Degree Apprenticeships: The student experience,Find out what is is like for two degree apprentices working for EDF and studying BEng Civil Engineering at the University of Exeter.,55,1,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,degree,studying,university life"
MSc Renewable Energy Engineering,Study MSc Renewable Energy Engineering at the University of Exeter. Find out more today.,274274,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
MSc Engineering Business Management,Study MSc Engineering Business Management at the University of Exeter. Find out more today.,281795,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
MSc Data Science and Artificial Intelligence,Study MSc Data Science and Artificial Intelligence at the University of Exeter. Find out more today.,274948,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
MSc Applied Data Science and Statistics,Study MSc Applied Data Science and Statistics at the University of Exeter. Find out more today.,266190,3,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
2019 SoapBox Science Exeter Joanne Smith,Make sure you include a clear description with key words that people will search for.,29,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
2019 SoapBox Science Exeter Catherine Talbot,Make sure you include a clear description with key words that people will search for.,64,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
2019 SoapBox Science Samantha Treagus,Make sure you include a clear description with key words that people will search for.,14,1,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
2019 SoapBox Science Exeter Aleksandra Zawalna-Geer,Make sure you include a clear description with key words that people will search for.,82,2,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Soapbox Science Exeter 2019,Make sure you include a clear description with key words that people will search for.,128,8,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Why should you complete your National Student Survey?,"The National Student Survey allows all final year undergraduates to have their say on their University experience. Here’s Joe Rigby, President Exeter at the Students’ Union at our Penryn Campus, on why he chose to fill it out when he was an undergraduate",50,0,1,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Have you completed your National Student Survey?,"Final year UGs have you filled out your National Student Survey yet? Here’s Joe Rigby, President Exeter at the Students’ Union at our Cornwall Campus to tell you more.",39,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
What difference completing the National Student Survey will make to the University?,"Are you a final year UG wondering what difference completing the National Student Survey will make to the University? Here’s Joe Rigby, President Exeter at the Students’ Union at our Penryn Campus to explain.",33,0,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life,national student survey"
Holocaust Memorial Conference 2020,"Teenagers learned of the horrors and legacy of the Holocaust – including a secret Nazi family past - as part of a University of Exeter event.

The moving talks and seminars were held to mark Holocaust Memorial Day and the 75th anniversary of the liberation of Auschwitz-Birkenau. Attendees were from secondary schools from across the south west and the day was organised as part of the University of Exeter’s programme of widening participation activities for schools.

Find out more: https://www.exeter.ac.uk/news/university/title_777613_en.html",279,6,1,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Sports facilities - Russell Seal Fitness Centre,"Over £6.5 million has been invested to ensure that the Russell Seal Fitness Centre provides the ultimate Gym experience for all customers. The 200 station fitness centre offers gym users the latest technological innovations alongside state-of-the-art equipment to maximise workouts at all levels. All are welcome to visit the Centre for a tour with one of our members of staff, and we also provide an online virtual tour of the facilities.  Find out more - https://sport.exeter.ac.uk/facilities/gyms/",350,6,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
'Making the Exceptional Happen'  campaign reaches £60 million,"A huge thank you to every single donor who helped us reach £60 million for the Exeter Alumni‘Making the Exceptional Happen’ campaign. We reached that target this week with a £225,000 donation from Santander Universities. 
Find out more: http://ex.ac.uk/bTz",38,1,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
The National Student Survey – 2020 (Devon),The National Student Survey is available until 30 April 2020 for University of Exeter finalists. Your feedback is very important to us and so please consider sparing a few minutes to complete it.,156,1,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life,National student survey"
Civil Engineering Degree Apprenticeship at the University of Exeter - Laing O'Rourke (30 seconds),"Scott Bell, Apprenticeship+ Programme Manager at Laing O'Rourke talks about Degree Apprenticeships and how partnering with the University of Exeter has enabled Laing O'Rouke to deliver the right skills for their workforce.",28,1,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Civil Engineering Degree Apprenticeship at the University of Exeter - Laing O'Rourke,"Scott Bell, Apprenticeship+ Programme Manager at Laing O'Rourke talks about Degree Apprenticeships and how partnering with the University of Exeter has enabled Laing O'Rouke to deliver the right skills for their workforce.",509,9,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Study Law and Business at the University of Exeter,"Gain skills and knowledge from the best in both worlds with our Joint Honours Law and Business programmes, based at our Penryn Campus in Cornwall. Visit: www.exeter.ac.uk/ug/law/lawbusiness",227,3,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life,law,business,cornwall,penryn campus,Law school,law degree"
Making the Exceptional Happen,"Our fundraising campaign has reached £60 million in philanthropic donations, one year ahead of schedule. Thank you to everyone who has supported our students and research.",211,4,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
MA Middle East Studies - Kurdish Studies pathway,"The MA in Middle East Studies at Exeter will equip you with the general research skills, sources and tools relevant to the study of the Middle East, North Africa and the Muslim world in general. 
You can specialise in 1-2 of seven areas of study if you wish, including Palestine Studies, Gulf Studies, Kurdish Studies, Comparative Politics, Gender Studies, Iranian Studies or Islamic Studies.
https://www.exeter.ac.uk/postgraduate/taught/arabislamic/middleeaststudiesma/",109,2,0,,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Institute of Arabic and Islamic Studies - Archival resources,For more information about postgraduate study at the Institute of Arab and Islamic Studies at Exeter visit www.exeter.ac.uk/iais,65,0,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
MA Middle East Studies - Comparative Politics pathway,"The MA in Middle East Studies at Exeter will equip you with the general research skills, sources and tools relevant to the study of the Middle East, North Africa and the Muslim world in general. 
You can specialise in 1-2 of seven areas of study if you wish, including Palestine Studies, Gulf Studies, Kurdish Studies, Comparative Politics, Gender Studies, Iranian Studies or Islamic Studies.
https://www.exeter.ac.uk/postgraduate/taught/arabislamic/middleeaststudiesma/",57,1,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
MA Middle East Studies - Gender pathway,"The MA in Middle East Studies at Exeter will equip you with the general research skills, sources and tools relevant to the study of the Middle East, North Africa and the Muslim world in general. 
You can specialise in 1-2 of seven areas of study if you wish, including Palestine Studies, Gulf Studies, Kurdish Studies, Comparative Politics, Gender Studies, Iranian Studies or Islamic Studies.
https://www.exeter.ac.uk/postgraduate/taught/arabislamic/middleeaststudiesma/",63,0,2,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
MA Global Politics at Exeter,Choose our MA Global Politics and study a Russell Group Masters on an intimate scale in beautiful coastal surroundings at our Penryn Campus in Cornwall. Visit: www.exeter.ac.uk/postgraduate/taught/politics/globalpoliticsma,102,1,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
ExeterMarine Student Films - Exploitation of the Sea: Ocean Acidification and Coral Reefs,"For their second year module 'Exploitation of the Sea' our ExeterMarine undergraduates work in small groups to produce a video covering the key issues of a topic relating to human use of the oceans. 

In this film our students explore the issues surrounding Ocean Acidification and it's impacts on coral Reefs.",34,1,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
"ExeterMarine Student Films - Exploitation of the Sea: Marine Eco-Tourism, Pros and Cons","For their second year module 'Exploitation of the Sea' our ExeterMarine undergraduates work in small groups to produce a video covering the key issues of a topic relating to human use of the oceans. 

In this film our students explore the pros and cons of marine Eco-tourism.",51,1,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
MA Middle East Studies - Islamic pathway,"The MA in Middle East Studies at Exeter will equip you with the general research skills, sources and tools relevant to the study of the Middle East, North Africa and the Muslim world in general. 
You can specialise in 1-2 of seven areas of study if you wish, including Palestine Studies, Gulf Studies, Kurdish Studies, Comparative Politics, Gender Studies, Iranian Studies or Islamic Studies.
https://www.exeter.ac.uk/postgraduate/taught/arabislamic/middleeaststudiesma/",98,0,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
MA Middle East Studies - Gulf pathway,https://www.exeter.ac.uk/postgraduate/taught/arabislamic/middleeaststudiesma/,63,1,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
MA Middle East Studies - Palestine pathway,"The MA in Middle East Studies at Exeter will equip you with the general research skills, sources and tools relevant to the study of the Middle East, North Africa and the Muslim world in general. 
You can specialise in 1-2 of seven areas of study if you wish, including Palestine Studies, Gulf Studies, Kurdish Studies, Comparative Politics, Gender Studies, Iranian Studies or Islamic Studies.
https://www.exeter.ac.uk/postgraduate/taught/arabislamic/middleeaststudiesma/",103,5,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Guide to Accommodation in the city of Exeter.,Don't rush. Know your rights. Moving into private accommodation can be a stressful time but listen to what our current students have to say about looking for new accommodation in Exeter. www.exeterguild.com/accommodation,409,3,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life,accommodation"
ExeterMarine Student Film - Exploitation of the Sea: Novel Compounds and the Pharmaceutical Industry,"For their second year module 'Exploitation of the Sea' our ExeterMarine undergraduates work in small groups to produce a video covering the key issues of a topic relating to human use of the oceans. 

In this film our students explore the opportunities and challenges surrounding the extraction of novel compounds for the pharmaceutical industry.",52,1,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
"My ExeterMarine PhD: Spatial Ecology of Loggerhead Turtles, Julia Haywood","Brilliant new paper published today by Julia Haywood as part of her PhD with the University of Exeter. Take a look at this brilliant video showcasing her work!
In this paper Julia uses 25 years of data to show strong foraging ground fidelity over decades. The team use both satellite tracking and stable isotope analysis to determine where these areas are.
Find out more: http://bit.ly/30CKZJw

Thank to Muddy Duck Productions for the video.",104,1,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Strongly ‘handed’ squirrels less good at learning,"Ambidextrous squirrels learn more quickly than those that strongly favour their left/right, new research suggests.

Dr Lisa Leaver, a behavioural ecologist at the University of Exeter, explains more about the study.

Read more here: http://www.exeter.ac.uk/news/research/title_774107_en.html",147,3,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
ExeterMarine Student Films - Exploitation of the Sea: Deep Sea Mining,"For their second year module 'Exploitation of the Sea' our ExeterMarine undergraduates work in small groups to produce a video covering the key issues of a topic relating to human use of the oceans. 

In this film our students explore the issues surrounding Mining Deep Sea Habitats.",78,2,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life,student,study,coursework,marine,sea,deep sea,conservation"
Creative Dialogues 'in-conversation' series: Nick Davies,"In March 2019, a Creative Dialogues ‘in-conversation’ took place with Nick Davies, investigative journalist, writer and documentary maker, in conversation with Don Boyd Hon DLitt, film director, producer, screenwriter and novelist, and Honorary Professor in Film Practice at the University of Exeter.
Date: 29 March 2019, 6pm, Alumni Auditorium",32,0,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Study MA Middle East Studies at Exeter,"The MA in Middle East Studies will equip you with the general research skills, sources and tools relevant to the study of the Middle East, North Africa and the Muslim world in general, and introduce you to a broad range of key theorists whose work has underpinned scholarship in several key fields of study.
Read more http://www.exeter.ac.uk/postgraduate/taught/arabislamic/middleeaststudiesma/",167,1,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
"Coral Reef Ecology and Management in a Warming Climate, Professor Nick Graham Online Lecture","This is a recording of Professor Nick Graham's Christmas Conservation Lecture given at the University of Exeter, Penryn Campus on 12th December 2019. 
Prof Graham talks about his research at the University of Lancaster on Coral Reef ecology and management with climate change and invasive rats.",117,1,0,1,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life,Conservation,online lecture,ExeterMarine,Guest Lecture,Coral Reef,Ecology,Marine Conservation"
Friendship at the University of Exeter - Sid and Michael,"“The thing I value most about the university is the people I’ve met and the friendships.” 
Michael and Sid are studying History. 
We are one community, many voices – Everyone Welcome.",90,0,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Friendship at the University of Exeter - Mariam and Giselle,"“This diversity of nationality, culture and background – I don’t know when else we’re going to get it.” Mariam is studying Economics and Politics and Giselle is studying Law
We are one community, many voices – Everyone Welcome.",86,2,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Friendship at the University of Exeter - Adam and Grace,"“I spent the first six months of university making the same sort of friends… until I realised I don’t actually need to do that.” 
Adam and Grace are studying History in Penryn, Cornwall.
We are one community, many voices – Everyone Welcome.",56,0,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Friendship at the University of Exeter - Daniel and George,"“I could have stayed in my room for the whole of freshers because I was so anxious but stepping out of your comfort zone socially is what really makes university.”  
Daniel is studying Politics and George is studying Environmental Science in Penryn, Cornwall. 
We are one community, many voices – Everyone Welcome.",77,5,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
"Friendship at the University of Exeter - Anjli, Nour and Ercan","“It’s very interesting meeting people from India, Turkey, Japan… you learn something new every day.” Anjli, Nour and Ercan are studying Business in Penryn, Cornwall
We are one community, many voices – Everyone Welcome.",81,2,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Friendship at the University of Exeter - Ninette and Hannah,"“You can learn from people who have already experienced the things you’re going through.” 
Hannah and Ninette are doing a Masters in Creative Writing.
We are one community, many voices – Everyone Welcome.",67,1,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Friendship at the University of Exeter - Patrick and Penny,"“It’s really quite incredible, how university creates this open space which you meet people from all over the world.” 
Patrick is President and Penny is VP Education at the Students’ Guild. 
We are one community, many voices – Everyone Welcome.",141,3,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Friendship at the University of Exeter - Rohan and Matvey,"“The point about coming to uni was to be open to the world.” 
Rohan is from America and studying Law and Matvey is from Russia and studying Anthropology.
We are one community, many voices – Everyone Welcome.",119,1,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Friendship at the University of Exeter - Camara and Victoria,"“I think I’m quite introverted but I need someone to give me a push. She’s got a very different culture to me. I’ve learnt a lot.” 
Vic is studying Sport and Health Sciences and Camara is studying Law
We are one community, many voices – Everyone Welcome.",78,0,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Friendship at the University of Exeter - 30 second promo,"Building friendships with people from different countries, backgrounds and with different perspectives on life is an essential part of the university experience. 

Be inspired by these stories of diverse friendships at the University of Exeter. 

We are one community, many voices – Everyone Welcome",90,2,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Friendship at the University of Exeter,"Building friendships with people from different countries, backgrounds and with different perspectives on life is an essential part of the university experience. 
Be inspired by these stories of diverse friendships at the University of Exeter. 
We are one community, many voices – Everyone Welcome",727,15,0,1,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Friendship at the University of Exeter - Our Favourite Moments,"Building friendships with people from different countries, backgrounds and with different perspectives on life is an essential part of the university experience. 
Be inspired by these stories of diverse friendships at the University of Exeter. 
We are one community, many voices – Everyone Welcome",87,1,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
"Studying Politics and International Relations at our Penryn Campus, Cornwall","Hear from our academics, students and graduates what it’s like to study with us. Visit: www.exeter.ac.uk/politics/studyingcornwall",207,6,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life,politics degree,study politics,international relations"
Meet our Politics (Cornwall) graduates,"Alex talks about his time as a student with us and the exciting career he’s pursued since graduating. Visit: www.exeter.ac.uk/politics/studyingcornwall 
Features the song ""Everything is a Jawn"" by EVA (https://joshlis.bandcamp.com/) which is available under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/3.0/). Edited for length.",89,2,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
"Politics and International Relations at Exeter, Penryn Campus.",Study Politics and International Relations at our stunning Penryn Campus in Cornwall. www.exeter.ac.uk/politics/studyingcornwall,179,2,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
Student Startups Term 1 Highlights 2019,"It’s been a busy term for Student Startups @ the Deck; we’ve run over 15 workshops, run and hosted 2 startup weekends, provided tons of 1:1 startup advice sessions, had visits from our brilliant Entrepreneurs in Residence, hosted a sustainable fashion Swap Shop, not to mention a weekend coding hackathon, weekly Enactus committee meetings and other events. On top of that we have funded 5 student businesses in this term alone!",98,1,0,0,"University of exeter,exeter uni,exeter university,student life,undergraduate,postgraduate,degree,studying,university life"
